Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
31,Biotechnology,Healthcare,68,42,61,67,"VRTX,REGN,ALNY,ARGX,INSM,ONC,RPRX,GMAB,INCY,RVMD,ROIV,BBIO,MRNA,IONS,ASND,MDGL,EXEL,BMRN,RNA,TECH,JAZZ,ARWR,HALO,AXSM,CYTK,NUVL,PRAX,KRYS,RYTM,PTCT,BLTE,KYMR,PCVX,COGT,CRSP,IMVT,APGE,CRNX,PTGX,CELC,GPCR,ACAD,FOLD,ADMA,SRRK,MIRM,NAMS,LGND,ARQT,VKTX,VERA,CGON,APLS,TARS,CNTA,IDYA,XENE,TVTX,DYN,IRON,NUVB,VRDN,BEAM,CPRX,LQDA,WVE,DNLI,EWTX,RCUS,MLYS,MESO,ADPT,OCUL,SYRE,IMNM,HRMY,GLPG,OLMA,AUPH,STOK,ALMS,NRIX,MAZE,SNDX,MNKD,CLDX,ZYME,ARDX,IMCR,ERAS,GLUE,DNTH,SION,KOD,PHVS,TYRA,FTRE,TNGX,UPB,INVA,QURE,TRVI,MNMD,EYPT,TSHA,CAPR,RLAY,ELVN,MBX,RAPP,XERS,ORKA,OCS,IMTX,PHAR,ANAB,SVRA,PVLA,SEPN,PHAT,URGN,INBX,BBOT,XNCR,VTYX,NBTX,GHRS,TBPH,OMER,DAWN,CMPX,BCAX,ARVN,ZBIO,RAPT,NKTR,VALN,KURA,RIGL,KALV,DBVT,ANNX,RGNX,ATXS,DRUG,LXEO,FULC,CGEM,REPL,VSTM,ENGN,KROS,DRTS,LBRX,DSGN,CRVS,LYEL,KYTX,ASMB,ANRO,PEPG,EPRX,DMAC,VNDA,MNPR,FDMT,SLDB,TRDA,TECX,ENTA,XOMA,HELP,ZURA,CTNM,CAMP,AARD,PBYI,GLSI,AVTX,FBRX,TARA,FHTX,ACHV,NGNE,ARMP,SLN,IMMX,FENC,MDWD,NTHI,NVCT,SGMT,SRZN,VTVT,SLGL,KLRS,ELTX,KPTI,UNCY,VRCA,ATRA,STRO,PTHS,TENX,COEP,KZIA,CALC,CRVO,ALGS,ICCC,PASG,INKT,FBIOP,APLM,NXTC,KZR,EVAX,LPCN,FGEN,GBIO,CING,GLTO,PTN,ATHA,PLRZ,SNSE,XOMAP,XOMAO,BNTX,SMMT,ABVX,CAI,TGTX,LEGN,TERN,CORT,ACLX,AAPG,TLX,SLNO,SRPT,RARE,VCEL,ZLAB,AGIO,BHVN,NTLA,NVAX,NBY,SPRY,MLTX,MDXG,YDES,JANX,VIR,ORIC,AVBP,MPLT,GYRE,JBIO,CRMD,MGTX,EVMN,DNA,NAGE,PRTA,ZVRA,LENZ,BCYC,PRTC,BNTC,AURA,CADL,VOR,ABEO,RNAC,TNXP,ARCT,CBIO,CRBP,ACTU,ACOG,MCRB,COYA,CSBR,KRRO,EXOZ,SPRB,ACET,IMA,TIL,CVM,XCUR,QNTM,MTVA,CVKD,PMN,BCTX,BOLT,QNRX,ADXN,APVO,RNAZ,CNSP,ELAB"
32,Lodging,Consumer Cyclical,67,73,77,59,"MAR,HLT,IHG,H,HTHT,WH,ATAT,CHH,SHCO,CVEO,INTG"
33,Apparel Retail,Consumer Cyclical,67,68,76,72,"TJX,ROST,LULU,BURL,GAP,URBN,ANF,BOOT,VSCO,AEO,BKE,CRI,GES,SFIX,SCVL,CAL,LE,ZUMZ,CTRN,GCO,RENT,JILL,DBGI,AKA,LVLU"
34,Oil & Gas Drilling,Energy,67,78,73,62,"NE,HP,PTEN,SDRL,SOC,PDS,NBR"
35,Utilities - Independent Power Producers,Utilities,66,21,29,60,"CEG,VST,NRG,TLN,OKLO,PAM,TAC,KEN"
36,Travel Services,Consumer Cyclical,66,77,66,56,"BKNG,ABNB,RCL,TCOM,CCL,CUK,EXPE,VIK,NCLH,MMYT,TNL,GBTG,TRIP,PRSU,LIND,AHMA"
37,Utilities - Renewable,Utilities,66,40,47,69,"AXIA,BEP,ORA,BEPC,ENLT,CWEN,FLNC,RNW,XIFR,NRGV,ELLO,STEM,WAVE"
38,Consumer Electronics,Technology,66,30,29,70,"AAPL,SONY,SONO,ZEPP,TBCH,AXIL"
39,Engineering & Construction,Industrials,66,42,48,61,"PWR,FER,FIX,EME,APG,MTZ,J,ACM,BLD,STN,DY,TTEK,STRL,IESC,FLR,PRIM,ROAD,KBR,ACA,GVA,LGN,ECG,AGX,EXPO,TPC,MYRG,CDLR,WLDN,AMRC,GLDD,CDNL,BWMN,ORN,BBCP,MTRX,ESOA,VATE"
40,Auto Parts,Consumer Cyclical,63,67,50,57,"ORLY,AZO,APTV,GPC,MGA,BWA,ALV,MBLY,ALSN,LKQ,LEA,QS,MOD,GNTX,ATMU,HSAI,DORM,GTX,DAN,VC,PHIN,GT,AAP,ADNT,XPEL,THRM,SLDP,AXL,SMP,PLOW,FOXF,CPS,MNRO,MLR,STRT,MPAA,SRI"
