Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
9001,LAKE,9.37,120380.00,Consumer Cyclical,Apparel Manufacturing,3.00,63.00,3.00,5.00,246540.00,116130.00,25.53,7.77,91883416.00,No
9002,SFM,66.34,2772181.00,Consumer Defensive,Grocery Stores,3.00,11.00,8.00,1.00,2493762.00,2880650.00,182.00,66.17,6483153408.00,No
9003,BOIL,22.85,11660002.00,ETF,ETF,3.00,96.00,5.00,4.00,12597029.00,21372940.00,109.77,15.20,,No
9004,FISV,58.44,9370445.00,,,3.00,10.00,14.00,1.00,9814216.00,9470230.00,238.59,57.79,31767582720.00,No
9005,SOLC,15.35,1881.00,ETF,ETF,3.00,1.00,,,3222.00,2580.00,28.66,15.18,,No
9006,DRAY,22.43,5953.00,ETF,ETF,2.00,4.00,7.00,1.00,9018.00,5430.00,53.95,22.43,,No
9007,SOEZ,13.52,23987.00,ETF,ETF,2.00,1.00,,,12025.00,24600.00,25.33,13.49,,No
9008,FSOL,9.29,1207785.00,ETF,ETF,2.00,1.00,,,378147.00,414320.00,17.48,9.18,,No
9009,GRNI,19.27,52652.00,ETF,ETF,2.00,17.00,,,111444.00,95020.00,34.58,19.19,,No
9010,INBS,6.32,236770.00,Healthcare,Medical Devices,2.00,1.00,7.00,1.00,2397158.00,138510.00,27.50,4.03,7685954.00,No
9011,PLTG,13.30,457410.00,ETF,ETF,2.00,0.00,0.00,0.00,262109.00,465300.00,44.95,12.88,,No
9012,ASAN,8.46,5563979.00,Technology,Software - Application,2.00,2.00,4.00,3.00,4094165.00,4223020.00,24.50,8.41,2005865984.00,No
9013,PATX,11.76,27190.00,ETF,ETF,2.00,,,,47487.00,40060.00,24.88,11.03,,No
9014,LTCC,12.41,41986.00,ETF,ETF,2.00,2.00,3.00,,41721.00,31970.00,26.94,12.36,,No
9015,NOW,102.63,32583013.00,Technology,Software - Application,2.00,3.00,2.00,3.00,12211001.00,25358210.00,211.48,101.73,108289318912.00,No
9016,PSNY,14.72,1123836.00,Consumer Cyclical,Auto Manufacturers,2.00,4.00,5.00,1.00,273345.00,158190.00,42.60,11.75,1346993664.00,No
9017,BRCB,14.46,411185.00,Consumer Cyclical,Restaurants,2.00,2.00,3.00,,474862.00,679360.00,30.40,13.53,252738416.00,No
9018,CORT,38.36,1062249.00,Healthcare,Biotechnology,2.00,82.00,2.00,2.00,1833537.00,2725790.00,117.33,32.99,4042059520.00,No
9019,WULX,15.66,489978.00,ETF,ETF,2.00,6.00,1.00,,227373.00,358810.00,43.20,15.04,,No
9020,UVXY,41.06,14566067.00,ETF,ETF,2.00,94.00,7.00,2.00,8357124.00,8757480.00,266.05,33.95,,No
9021,LMRI,10.14,705581.00,Healthcare,Medical Devices,2.00,1.00,,,789943.00,481320.00,19.45,9.96,958895808.00,No
9022,DOCS,33.32,6913609.00,Healthcare,Health Information Services,2.00,4.00,1.00,3.00,2849013.00,3036620.00,85.21,32.66,6273198592.00,No
9023,NVTX,18.62,135859.00,ETF,ETF,2.00,0.00,0.00,,177942.00,244130.00,192.82,18.30,,No
9024,TSSI,7.78,828801.00,Technology,Information Technology Services,2.00,13.00,1.00,0.00,1566283.00,1077880.00,31.94,5.63,224414384.00,No
9025,IOYY,13.22,34027.00,ETF,ETF,2.00,4.00,2.00,,44726.00,73920.00,25.98,13.20,,No
9026,BAGY,26.55,9053.00,ETF,ETF,2.00,3.00,3.00,1.00,8467.00,12090.00,60.90,26.55,,No
9027,BCCC,12.92,19684.00,ETF,ETF,2.00,3.00,3.00,2.00,14729.00,13670.00,27.21,12.92,,No
9028,PLTY,37.00,626988.00,ETF,ETF,2.00,4.00,3.00,2.00,337437.00,395550.00,95.08,36.67,,No
9029,PLTU,37.23,4370994.00,ETF,ETF,2.00,0.00,0.00,0.00,1615208.00,2623080.00,128.03,16.61,,No
9030,AEYE,7.57,274581.00,Technology,Software - Application,2.00,6.00,2.00,4.00,106936.00,120670.00,20.57,7.52,94008936.00,No
9031,XYZY,26.39,21662.00,ETF,ETF,2.00,4.00,4.00,2.00,18475.00,15150.00,88.50,26.39,,No
9032,VERX,14.95,3390687.00,Technology,Software - Application,2.00,5.00,7.00,3.00,1514124.00,2291470.00,60.71,14.78,2384943104.00,No
9033,TRI,88.31,7812370.00,Industrials,Specialty Business Services,2.00,3.00,3.00,2.00,1266859.00,2348760.00,218.42,85.02,39918825472.00,No
9034,COIN,146.12,28683951.00,Financial Services,Financial Data & Stock Exchanges,2.00,1.00,1.00,1.00,9361640.00,10936950.00,444.65,142.58,39402369024.00,No
9035,TLX,6.96,166998.00,Healthcare,Biotechnology,2.00,19.00,5.00,3.00,155513.00,154950.00,30.36,6.87,2329682432.00,No
9036,PALU,12.30,66263.00,ETF,ETF,2.00,3.00,1.00,5.00,48595.00,43180.00,29.55,12.19,,No
9037,LYFX,12.31,10628.00,ETF,ETF,2.00,2.00,3.00,,11218.00,11060.00,34.15,12.17,,No
9038,PLTW,24.05,303199.00,ETF,ETF,2.00,2.00,2.00,1.00,273001.00,263840.00,57.83,22.00,,No
9039,NTNX,38.39,7488693.00,Technology,Software - Infrastructure,2.00,4.00,2.00,2.00,4588793.00,4633870.00,83.36,35.39,10380653568.00,No
9040,CRWL,19.14,330811.00,ETF,ETF,2.00,2.00,1.00,3.00,131868.00,190260.00,46.34,15.77,,No
9041,CWII,12.15,10024.00,ETF,ETF,2.00,15.00,2.00,,4440.00,5350.00,24.00,11.51,,No
9042,MSST,28.30,3622.00,ETF,ETF,2.00,3.00,,,1886.00,1640.00,54.29,28.30,,No
9043,CRVL,48.73,406392.00,Financial Services,Insurance Brokers,2.00,3.00,4.00,3.00,186896.00,250280.00,128.25,47.04,2500470272.00,No
9044,RYM,15.34,19775.00,Consumer Defensive,Tobacco,2.00,3.00,0.00,4.00,93286.00,27300.00,53.65,13.22,32967624.00,No
9045,TZOO,5.38,177389.00,Communication Services,Internet Content & Information,2.00,6.00,6.00,3.00,131485.00,184610.00,24.85,5.32,59077460.00,No
9046,SPT,7.89,2789130.00,Technology,Software - Application,2.00,4.00,8.00,2.00,1274703.00,1618660.00,33.97,7.73,467003936.00,No
9047,LFGY,19.84,304809.00,ETF,ETF,2.00,5.00,3.00,2.00,135027.00,118890.00,50.21,19.83,,No
9048,RDYY,23.79,21450.00,ETF,ETF,2.00,1.00,3.00,,38809.00,39310.00,56.57,23.40,,No
9049,SMR,14.84,21432224.00,Industrials,Specialty Industrial Machinery,2.00,5.00,1.00,0.00,26746000.00,26446000.00,57.42,11.08,4197397504.00,No
9050,GXRP,23.09,220405.00,ETF,ETF,2.00,0.00,,,141367.00,243630.00,46.51,22.14,,No
9051,NVOX,14.70,2289240.00,ETF,ETF,2.00,1.00,6.00,7.00,1564006.00,951480.00,105.60,14.59,,No
9052,NCTY,5.06,44394.00,Financial Services,Capital Markets,2.00,5.00,3.00,3.00,41391.00,56830.00,16.85,5.05,76533944.00,No
9053,NFLW,22.14,16246.00,ETF,ETF,2.00,10.00,4.00,2.00,36778.00,18990.00,55.24,21.68,,No
9054,XRPZ,12.95,956800.00,ETF,ETF,2.00,0.00,,,375844.00,288640.00,26.09,12.38,,No
9055,VRNS,22.21,9401979.00,Technology,Software - Infrastructure,2.00,3.00,4.00,1.00,2531337.00,5381930.00,63.90,20.06,2618499072.00,No
9056,ESK,11.37,4706.00,ETF,ETF,2.00,1.00,3.00,,4288.00,3660.00,28.52,11.37,,No
9057,XRPM,13.53,33063.00,ETF,ETF,2.00,1.00,,,16471.00,17770.00,25.99,13.14,,No
9058,ARMU,14.02,197784.00,ETF,ETF,2.00,14.00,1.00,3.00,20367.00,45630.00,41.25,10.37,,No
9059,RDWU,11.01,157160.00,ETF,ETF,2.00,,,,165075.00,165075.00,29.05,10.81,,No
9060,INTA,23.77,2504790.00,Technology,Software - Application,2.00,0.00,4.00,3.00,779511.00,1661570.00,77.74,20.76,1947392512.00,No
