Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1,SNDK,409.24,13996429.00,Technology,Computer Hardware,99.00,98.00,98.00,98.00,11769927.00,14124030.00,423.35,27.89,59975421952.00,No
2,TERN,36.98,2050688.00,Healthcare,Biotechnology,98.00,2.00,98.00,98.00,4124562.00,2533660.00,48.26,1.86,4022213888.00,No
3,ROLR,23.75,23079377.00,Consumer Cyclical,Gambling,98.00,98.00,98.00,98.00,1400617.00,8498570.00,33.68,1.16,201815888.00,No
4,MULL,121.48,222371.00,ETF,ETF,98.00,98.00,98.00,98.00,342288.00,342160.00,131.96,6.04,,No
5,MUU,136.29,1105443.00,ETF,ETF,98.00,98.00,98.00,98.00,1332100.00,1387390.00,148.49,6.77,,No
6,CELC,105.28,760491.00,Healthcare,Biotechnology,98.00,61.00,98.00,98.00,1023177.00,637470.00,116.44,7.58,4871438336.00,No
7,BNR,33.32,100872.00,Healthcare,Diagnostics & Research,98.00,98.00,98.00,98.00,49988.00,32730.00,34.44,2.18,358742976.00,No
8,AHMA,29.38,2790523.00,Consumer Cyclical,Travel Services,98.00,98.00,,,1932874.00,4726560.00,30.50,4.00,873320448.00,No
9,VTYX,13.86,1184957.00,Healthcare,Biotechnology,98.00,98.00,98.00,98.00,5721388.00,9955590.00,25.00,0.78,994456960.00,No
10,SLGL,68.31,14436.00,Healthcare,Biotechnology,98.00,98.00,97.00,98.00,18322.00,18900.00,71.99,4.02,190297104.00,No
11,PRAX,297.74,757872.00,Healthcare,Biotechnology,98.00,81.00,98.00,98.00,1116491.00,593670.00,317.72,26.70,8258977280.00,No
12,IBCA,26.02,82011.00,ETF,ETF,98.00,32.00,28.00,39.00,136598.00,226650.00,26.72,1.00,,No
13,ONDS,12.82,94169943.00,Technology,Communication Equipment,98.00,98.00,94.00,98.00,92995801.00,118480190.00,15.28,0.57,5189100032.00,No
14,AFJKU,64.33,436.00,Financial Services,Shell Companies,98.00,98.00,98.00,98.00,561.00,160.00,80.00,7.60,,No
15,ERAS,9.56,14473979.00,Healthcare,Biotechnology,98.00,98.00,98.00,98.00,3381506.00,11095490.00,9.72,1.01,2712284928.00,No
16,RHLD,226.37,109378.00,Industrials,Specialty Business Services,98.00,90.00,98.00,98.00,87267.00,157710.00,236.19,24.22,1930030336.00,No
17,GLTO,23.95,15358.00,Healthcare,Biotechnology,98.00,0.00,98.00,98.00,1154396.00,28820.00,38.33,2.01,38319356.00,No
18,ALMS,24.17,2462977.00,Healthcare,Biotechnology,98.00,98.00,98.00,98.00,2602940.00,10712130.00,25.19,2.76,3013779200.00,No
19,OLMA,29.19,1097845.00,Healthcare,Biotechnology,98.00,1.00,98.00,98.00,3864412.00,1449750.00,36.26,2.86,2339868160.00,No
20,PL,28.28,20111629.00,Industrials,Aerospace & Defense,98.00,98.00,98.00,98.00,10953682.00,13046360.00,29.38,2.79,8870438912.00,No
21,NEGG,54.56,80832.00,Consumer Cyclical,Internet Retail,98.00,10.00,84.00,93.00,468290.00,88550.00,137.84,3.32,1143931136.00,No
22,AGQ,257.76,11386369.00,ETF,ETF,98.00,98.00,98.00,98.00,4470833.00,8328620.00,267.79,31.88,,No
23,KOD,26.70,687597.00,Healthcare,Biotechnology,98.00,91.00,97.00,98.00,940995.00,927810.00,31.18,1.92,1629993088.00,No
24,RKLX,65.30,2527754.00,ETF,ETF,98.00,98.00,84.00,93.00,1696679.00,2514580.00,67.91,3.81,,No
25,GDXU,341.86,398617.00,ETF,ETF,98.00,97.00,94.00,98.00,783708.00,610810.00,356.94,31.93,,No
26,XWIN,5.95,408610.00,Consumer Cyclical,"Furnishings, Fixtures & Appliances",98.00,31.00,76.00,95.00,861193.00,712270.00,6.23,0.41,249211152.00,No
27,ANRO,17.02,70549.00,Healthcare,Biotechnology,98.00,25.00,98.00,98.00,717295.00,217010.00,20.91,1.60,528749056.00,No
28,BIOA,21.51,880710.00,Healthcare,Drug Manufacturers - Specialty & Generic,98.00,98.00,98.00,98.00,591659.00,1108950.00,24.00,2.88,771241856.00,No
29,NRGV,6.03,2300027.00,Utilities,Utilities - Renewable,98.00,94.00,94.00,98.00,3215003.00,3084630.00,6.35,0.60,1011773760.00,No
30,BE,139.17,8871542.00,Industrials,Electrical Equipment & Parts,98.00,98.00,87.00,98.00,13726843.00,13165630.00,147.86,15.15,32915200000.00,No
31,COGT,39.25,2558466.00,Healthcare,Biotechnology,98.00,14.00,98.00,98.00,3303951.00,2504940.00,43.73,3.72,6025093632.00,No
32,KORU,265.45,276750.00,ETF,ETF,98.00,98.00,98.00,98.00,124762.00,138780.00,272.15,27.16,,No
33,AFJK,46.01,21167.00,Financial Services,Shell Companies,98.00,97.00,98.00,98.00,210845.00,96940.00,130.37,6.75,281660928.00,No
34,APLD,35.22,25770664.00,Technology,Information Technology Services,98.00,97.00,15.00,98.00,30130569.00,46531590.00,40.20,3.31,9847013376.00,No
35,NBTX,21.17,21413.00,Healthcare,Biotechnology,98.00,9.00,5.00,98.00,63427.00,48420.00,30.35,2.93,1024372928.00,No
36,ZEPP,22.50,166395.00,Technology,Consumer Electronics,98.00,1.00,0.00,92.00,235156.00,132330.00,61.85,2.12,329062496.00,No
37,SOGP,15.10,24852.00,Communication Services,Internet Content & Information,98.00,95.00,6.00,97.00,83398.00,290360.00,37.00,1.18,62816000.00,No
38,INBX,71.80,115250.00,Healthcare,Biotechnology,98.00,8.00,98.00,97.00,408685.00,189400.00,94.56,10.80,1044240448.00,No
